Species,Parity
Pachydactylus_rugosus,0
Pachydactylus_barnardi,0
Pachydactylus_formosus,0
Pachydactylus_labialis,0
Pachydactylus_geitje,0
Pachydactylus_oculatus,0
Pachydactylus_maculatus,0
Pachydactylus_mariquensis,0
Pachydactylus_austeni,0
Pachydactylus_vanzyli,0
Pachydactylus_rangei,0
Pachydactylus_montanus,0
Pachydactylus_oshaughnessyi,0
Pachydactylus_tigrinus,0
Pachydactylus_capensis,0
Pachydactylus_affinis,0
Pachydactylus_vansoni,0
Pachydactylus_purcelli,0
Pachydactylus_waterbergensis,0
Pachydactylus_fasciatus,0
Pachydactylus_tsodiloensis,0
Pachydactylus_weberi,0
Pachydactylus_mclachlani,0
Pachydactylus_monicae,0
Pachydactylus_carinatus,0
Pachydactylus_serval,0
Pachydactylus_griffini,0
Cnemaspis_podihuna,0
Cnemaspis_tropidogaster,0
Cnemaspis_kandiana,0
Phelsuma_ocellata,0
Lygodactylus_expectatus,0
Lygodactylus_rarus,0
Lygodactylus_madagascariensis,0
Lygodactylus_guibei,0
Lygodactylus_miops,0
Lygodactylus_tolampyae,0
Lygodactylus_verticillatus,0
Lygodactylus_heterurus,0
Lygodactylus_blancae,0
Lygodactylus_pauliani,0
Lygodactylus_arnoulti,0
Lygodactylus_gravis,0
Lygodactylus_lawrencei,0
Lygodactylus_stevensoni,0
Lygodactylus_bradfieldi,0
Lygodactylus_capensis,0
Lygodactylus_montanus,0
Lygodactylus_tuberosus,0
Lygodactylus_pictus,0
Lygodactylus_mirabilis,0
Lygodactylus_klugei,0
Lygodactylus_thomensis,0
Lygodactylus_conraui,0
Lygodactylus_angularis,0
Lygodactylus_gutturalis,0
Lygodactylus_chobiensis,0
Lygodactylus_williamsi,0
Lygodactylus_keniensis,0
Lygodactylus_kimhowelli,0
Lygodactylus_luteopicturatus,0
Lygodactylus_picturatus,0
Phelsuma_vanheygeni,0
Phelsuma_sundbergi,0
Phelsuma_astriata,0
Phelsuma_guttata,0
Phelsuma_madagascariensis,0
Phelsuma_abbotti,0
Phelsuma_seippi,0
Phelsuma_parkeri,0
Phelsuma_pronki,0
Phelsuma_barbouri,0
Phelsuma_mutabilis,0
Phelsuma_breviceps,0
Phelsuma_standingi,0
Phelsuma_andamanense,0
Phelsuma_gigas,0
Phelsuma_edwardnewtoni,0
Phelsuma_guentheri,0
Phelsuma_cepediana,0
Phelsuma_borbonica,0
Phelsuma_guimbeaui,0
Phelsuma_inexpectata,0
Phelsuma_ornata,0
Phelsuma_modesta,0
Phelsuma_nigristriata,0
Phelsuma_ravenala,0
Phelsuma_dubia,0
Phelsuma_flavigularis,0
Phelsuma_hielscheri,0
Phelsuma_malamakibo,0
Phelsuma_berghofi,0
Phelsuma_serraticauda,0
Phelsuma_robertmertensi,0
Phelsuma_laticauda,0
Phelsuma_klemmeri,0
Phelsuma_quadriocellata,0
Phelsuma_antanosy,0
Phelsuma_pusilla,0
Phelsuma_comorensis,0
Phelsuma_kely,0
Phelsuma_lineata,0
Cricosaura_typica,1
Xantusia_henshawi,1
Xantusia_gracilis,1
Xantusia_sanchezi,1
Xantusia_bolsonae,1
Xantusia_riversiana,1
Xantusia_wigginsi,1
Xantusia_bezyi,1
Xantusia_vigilis,1
Xantusia_arizonae,1
Lepidophyma_mayae,1
Lepidophyma_tuxtlae,1
Lepidophyma_lipetzi,1
Lepidophyma_reticulatum,1
Lepidophyma_flavimaculatum,1
Lepidophyma_pajapanensis,1
Lepidophyma_occulor,1
Lepidophyma_sylvaticum,1
Lepidophyma_micropholis,1
Lepidophyma_gaigeae,1
Lepidophyma_smithii,1
Lepidophyma_lineri,1
Lepidophyma_cuicateca,1
Lepidophyma_lowei,1
Lepidophyma_dontomasi,1
Lepidophyma_radula,1
Gerrhosaurus_major,0
Cordylosaurus_subtessellatus,0
Tetradactylus_seps,0
Tetradactylus_tetradactylus,0
Tetradactylus_africanus,0
Gerrhosaurus_validus,0
Gerrhosaurus_typicus,0
Gerrhosaurus_skoogi,0
Gerrhosaurus_nigrolineatus,0
Gerrhosaurus_flavigularis,0
Gerrhosaurus_multilineatus,0
Tracheloptychus_petersi,0
Tracheloptychus_madagascariensis,0
Zonosaurus_madagascariensis,0
Zonosaurus_haraldmeieri,0
Zonosaurus_karsteni,0
Zonosaurus_laticaudatus,0
Zonosaurus_anelanelany,0
Zonosaurus_ornatus,0
Zonosaurus_quadrilineatus,0
Zonosaurus_trilineatus,0
Zonosaurus_boettgeri,0
Zonosaurus_tsingy,0
Zonosaurus_brygooi,0
Zonosaurus_rufipes,0
Zonosaurus_aeneus,0
Zonosaurus_bemaraha,0
Zonosaurus_subunicolor,0
Platysaurus_pungweensis,0
Platysaurus_mitchelli,0
Platysaurus_capensis,0
Platysaurus_broadleyi,0
Platysaurus_intermedius,0
Platysaurus_monotropis,0
Platysaurus_minor,0
Cordylus_cataphractus,1
Cordylus_polyzonus,1
Cordylus_jordani,1
Cordylus_pustulatus,1
Cordylus_campbelli,1
Cordylus_namaquensis,1
Cordylus_peersi,1
Cordylus_lawrenci,1
Cordylus_giganteus,1
Cordylus_warreni,1
Chamaesaura_anguina,1
Chamaesaura_aenea,1
Cordylus_langi,1
Cordylus_microlepidotus,1
Cordylus_melanotus,1
Cordylus_spinosus,1
Cordylus_coeruleopunctatus,1
Cordylus_capensis,1
Cordylus_nebulosus,1
Cordylus_meculae,1
Cordylus_tropidosternum,1
Cordylus_vittifer,1
Cordylus_rhodesianus,1
Cordylus_jonesii,1
Cordylus_beraduccii,1
Cordylus_ukingensis,1
Cordylus_macropholis,1
Cordylus_imkeae,1
Cordylus_minor,1
Cordylus_aridus,1
Cordylus_mclachlani,1
Cordylus_niger,1
Cordylus_oelofseni,1
Cordylus_cordylus,1
Cordylus_tasmani,1
Typhlosaurus_meyeri,1
Typhlosaurus_braini,1
Typhlosaurus_caecus,1
Typhlosaurus_lomiae,1
Typhlosaurus_vermis,1
Typhlosaurus_gariepensis,1
Microacontias_litoralis,1
Microacontias_lineatus,1
Typhlosaurus_lineatus,1
Acontias_meleagris,1
Acontophiops_lineatus,1
Acontias_percivali,1
Acontias_breviceps,1
Acontias_gracilicauda,1
Acontias_poecilus,1
Acontias_plumbeus,1
Ophiomorus_latastii,1
Ophiomorus_punctatissimus,1
Brachymeles_apus,1
Brachymeles_bonitae,1
Brachymeles_tridactylus,1
Brachymeles_minimus,1
Brachymeles_samarensis,1
Brachymeles_cebuensis,1
Brachymeles_talinis,1
Brachymeles_elerae,1
Brachymeles_schadenbergi,1
Brachymeles_pathfinderi,1
Brachymeles_gracilis,1
Brachymeles_bicolor,1
Brachymeles_boulengeri,1
Plestiodon_chinensis,0
Plestiodon_quadrilineatus,0
Plestiodon_capito,0
Plestiodon_elegans,0
Plestiodon_latiscutatus,0
Plestiodon_egregius,0
Plestiodon_reynoldsi,0
Plestiodon_anthracinus,0
Plestiodon_laticeps,0
Plestiodon_inexpectatus,0
Plestiodon_tetragrammus,0
Plestiodon_callicephalus,0
Plestiodon_obsoletus,0
Plestiodon_fasciatus,0
Plestiodon_septentrionalis,0
Plestiodon_multivirgatus,0
Plestiodon_gilberti,0
Plestiodon_skiltonianus,0
Plestiodon_copei,1
Plestiodon_dugesii,1
Plestiodon_brevirostris,1
Plestiodon_lynxe,1
Plestiodon_ochoterenae,1
Eumeces_schneideri,0
Scincus_mitranus,1
Eumeces_algeriensis,0
Chalcides_mauritanicus,1
Chalcides_guentheri,1
Chalcides_minutus,1
Chalcides_chalcides,1
Chalcides_striatus,1
Chalcides_pseudostriatus,1
Chalcides_ocellatus,1
Chalcides_sepsoides,1
Chalcides_colosii,1
Chalcides_bedriagai,1
Chalcides_boulengeri,1
Chalcides_lanzai,1
Chalcides_parallelus,1
Chalcides_sexlineatus,1
Chalcides_viridanus,1
Chalcides_coeruleopunctatus,1
Chalcides_sphenopsiformis,1
Chalcides_mionecton,1
Chalcides_manueli,1
Chalcides_montanus,1
Chalcides_polylepis,1
Sepsina_angolensis,1
Typhlacontias_punctatissimus,1
Typhlacontias_brevipes,1
Melanoseps_occidentalis,1
Melanoseps_loveridgei,1
Melanoseps_ater,1
Feylinia_grandisquamis,1
Feylinia_currori,1
Feylinia_polylepis,1
Proscelotes_eggeli,1
Scelotes_caffer,1
Scelotes_anguineus,1
Scelotes_arenicolus,1
Scelotes_mirus,1
Scelotes_bipes,1
Scelotes_sexlineatus,1
Scelotes_gronovii,1
Scelotes_kasneri,1
Scelotes_montispectus,1
Madascincus_melanopleura,0
Androngo_trivittatus,0
Amphiglossus_astrolabi,0
Amphiglossus_reticulatus,0
Amphiglossus_macrocercus,1
Amphiglossus_frontoparietalis,0
Ablepharus_pannonicus,0
Asymblepharus_alaicus,1
Tropidophorus_berdmorei,1
Tropidophorus_matsuii,1
Tropidophorus_noggei,1
Tropidophorus_latiscutatus,1
Tropidophorus_sinicus,1
Tropidophorus_thai,1
Tropidophorus_robinsoni,1
Tropidophorus_murphyi,1
Tropidophorus_baviensis,1
Tropidophorus_hainanus,1
Tropidophorus_misaminius,1
Tropidophorus_partelloi,1
Tropidophorus_brookei,1
Tropidophorus_beccarii,1
Tropidophorus_baconi,1
Tropidophorus_grayi,1
Tropidophorus_microlepis,1
Tropidophorus_cocincinensis,1
Isopachys_anguinoides,1
Lipinia_vittigera,0
Sphenomorphus_melanopogon,0
Sphenomorphus_muelleri,0
Sphenomorphus_jobiensis,0
Sphenomorphus_concinnatus,1
Sphenomorphus_solomonis,0
Sphenomorphus_leptofasciatus,1
Sphenomorphus_cranei,0
Sphenomorphus_jagori,0
Larutia_seribuatensis,0
Sphenomorphus_indicus,1
Sphenomorphus_sabanus,0
Sphenomorphus_multisquamatus,0
Asymblepharus_sikimmensis,0
Scincella_lateralis,0
Sphenomorphus_assatus,0
Sphenomorphus_cherriei,0
Prasinohaema_virens,0
Lipinia_pulchella,0
Papuascincus_stanleyanus,0
Lipinia_noctua,1
Sphenomorphus_arborens,0
Eulamprus_frerei,1
Nangura_spinosa,1
Calyptotis_lepidorostrum,0
Calyptotis_ruficauda,0
Calyptotis_scutirostrum,0
Gnypetoscincus_queenslandiae,1
Eulamprus_amplus,1
Eulamprus_tenuis,1
Eulamprus_tigrinus,1
Eulamprus_martini,1
Eulamprus_brachyosoma,1
Eulamprus_sokosoma,1
